Month,Passengers
2010-01-01,516
2010-02-01,527
2010-03-01,608
2010-04-01,568
2010-05-01,602
2010-06-01,610
2010-07-01,510
2010-08-01,482
2010-09-01,469
2010-10-01,448
2010-11-01,439
2010-12-01,501
2011-01-01,519
2011-02-01,588
2011-03-01,588
2011-04-01,646
2011-05-01,585
2011-06-01,561
2011-07-01,540
2011-08-01,454
2011-09-01,449
2011-10-01,454
2011-11-01,401
2011-12-01,461
2012-01-01,497
2012-02-01,542
2012-03-01,526
2012-04-01,530
2012-05-01,552
2012-06-01,514
2012-07-01,470
2012-08-01,430
2012-09-01,378
2012-10-01,385
2012-11-01,397
2012-12-01,406
2013-01-01,499
2013-02-01,514
2013-03-01,512
2013-04-01,563
2013-05-01,524
2013-06-01,535
2013-07-01,507
2013-08-01,433
2013-09-01,444
2013-10-01,428
2013-11-01,453
2013-12-01,509
2014-01-01,511
2014-02-01,546
2014-03-01,577
2014-04-01,593
2014-05-01,601
2014-06-01,583
2014-07-01,544
2014-08-01,516
2014-09-01,471
2014-10-01,489
2014-11-01,464
2014-12-01,551
2015-01-01,547
2015-02-01,554
2015-03-01,576
2015-04-01,613
2015-05-01,584
2015-06-01,568
2015-07-01,518
2015-08-01,461
2015-09-01,411
2015-10-01,381
2015-11-01,408
2015-12-01,458
2016-01-01,481
2016-02-01,487
2016-03-01,541
2016-04-01,553
2016-05-01,515
2016-06-01,504
2016-07-01,461
2016-08-01,397
2016-09-01,398
2016-10-01,393
2016-11-01,416
2016-12-01,448
2017-01-01,443
2017-02-01,496
2017-03-01,558
2017-04-01,574
2017-05-01,569
2017-06-01,611
2017-07-01,511
2017-08-01,488
2017-09-01,461
2017-10-01,449
2017-11-01,446
2017-12-01,501
2018-01-01,514
2018-02-01,568
2018-03-01,596
2018-04-01,620
2018-05-01,655
2018-06-01,543
2018-07-01,554
2018-08-01,467
2018-09-01,458
2018-10-01,476
2018-11-01,464
2018-12-01,466
2019-01-01,509
2019-02-01,572
2019-03-01,568
2019-04-01,593
2019-05-01,573
2019-06-01,524
2019-07-01,535
2019-08-01,459
2019-09-01,371
2019-10-01,400
2019-11-01,390
2019-12-01,446
