Month,Passengers
2010-01-01,1007
2010-02-01,1018
2010-03-01,1043
2010-04-01,1058
2010-05-01,1020
2010-06-01,996
2010-07-01,994
2010-08-01,952
2010-09-01,910
2010-10-01,913
2010-11-01,900
2010-12-01,913
2011-01-01,944
2011-02-01,931
2011-03-01,947
2011-04-01,967
2011-05-01,948
2011-06-01,945
2011-07-01,896
2011-08-01,859
2011-09-01,879
2011-10-01,842
2011-11-01,848
2011-12-01,839
2012-01-01,872
2012-02-01,902
2012-03-01,896
2012-04-01,921
2012-05-01,894
2012-06-01,876
2012-07-01,841
2012-08-01,848
2012-09-01,796
2012-10-01,769
2012-11-01,799
2012-12-01,782
2013-01-01,823
2013-02-01,811
2013-03-01,833
2013-04-01,858
2013-05-01,854
2013-06-01,823
2013-07-01,788
2013-08-01,755
2013-09-01,715
2013-10-01,714
2013-11-01,720
2013-12-01,756
2014-01-01,765
2014-02-01,754
2014-03-01,798
2014-04-01,789
2014-05-01,773
2014-06-01,769
2014-07-01,745
2014-08-01,714
2014-09-01,664
2014-10-01,660
2014-11-01,672
2014-12-01,695
2015-01-01,693
2015-02-01,717
2015-03-01,717
2015-04-01,717
2015-05-01,735
2015-06-01,720
2015-07-01,669
2015-08-01,655
2015-09-01,622
2015-10-01,595
2015-11-01,612
2015-12-01,643
2016-01-01,639
2016-02-01,683
2016-03-01,634
2016-04-01,687
2016-05-01,665
2016-06-01,636
2016-07-01,611
2016-08-01,550
2016-09-01,553
2016-10-01,550
2016-11-01,569
2016-12-01,552
2017-01-01,568
2017-02-01,592
2017-03-01,627
2017-04-01,620
2017-05-01,595
2017-06-01,588
2017-07-01,551
2017-08-01,535
2017-09-01,486
2017-10-01,480
2017-11-01,481
2017-12-01,478
2018-01-01,524
2018-02-01,544
2018-03-01,553
2018-04-01,551
2018-05-01,522
2018-06-01,514
2018-07-01,485
2018-08-01,448
2018-09-01,434
2018-10-01,431
2018-11-01,455
2018-12-01,443
2019-01-01,464
2019-02-01,479
2019-03-01,465
2019-04-01,495
2019-05-01,484
2019-06-01,497
2019-07-01,427
2019-08-01,405
2019-09-01,376
2019-10-01,347
2019-11-01,384
2019-12-01,391
